,Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary
110,CJ McCollum,28,8,12,36.8,8.8,20.1,43.9,2.6,6.7,38.1,1.9,2.3,82.2,0.9,3.8,4.6,3.8,2.2,2.9,35.7,1,0,3.0,3.8,9.0,13.6,0.8,17.2,0.8,16.3,11.4,12.2,10.3,37.4,0.091,25.9,26.7,28.4,25.8,26.4,14.1,14.0,11.0,13.6,13.0,24.1,20.6,17.2,16.3,24.7,17.0,12.0,24.7,28,66.6,33.4,56.8,22.3,34.8,16.4,8.4,11.8,34.5,18.4,81.6,68.6,31.4,33.0,67.0,2.6,1.9,3.6,7.6,11.4,12.2,10.3,37.4,1.1,1.8,698.0,0.5,-1.4,-0.9,9.5,1.8,11.2,2.2,-0.9,1.3,1.4,"$27,556,959"
111,Kemba Walker,29,12,5,32.2,7.0,17.2,40.6,3.4,8.8,38.9,4.5,4.9,91.7,1.2,3.5,4.7,4.7,2.1,1.8,36.6,0,0,4.2,3.5,10.2,15.0,0.9,14.4,0.5,13.6,9.8,9.0,9.1,27.8,0.101,27.5,24.8,27.9,37.9,37.3,39.3,34.7,15.7,15.0,15.2,28.6,23.2,14.4,13.6,37.7,13.4,27.7,28.5,29,49.1,50.9,32.7,5.9,46.6,8.3,20.6,12.9,26.8,24.6,75.4,50.0,50.0,37.0,63.0,2.8,1.7,1.8,5.9,9.8,9.0,9.1,27.8,1.5,4.1,517.0,4.5,1.4,5.9,8.1,-5.8,2.3,5.5,0.0,5.5,2.2,"$34,379,100"
112,Kyle Lowry,33,6,2,36.2,6.8,14.1,47.8,3.6,8.5,42.6,4.6,5.3,88.1,0.3,4.0,4.3,6.5,3.4,2.9,37.7,0,0,3.9,4.0,9.3,13.6,1.1,22.0,0.4,13.0,13.5,10.0,9.9,33.3,0.141,22.9,22.5,22.0,31.9,30.5,31.9,31.8,5.0,13.6,12.4,34.2,26.2,22.0,13.0,26.3,17.2,35.9,25.3,33,39.8,60.2,28.7,4.6,50.0,32.2,21.3,7.5,24.1,20.0,80.0,51.7,48.3,37.0,63.0,1.6,0.4,7.0,5.3,13.5,10.0,9.9,33.3,1.3,5.9,289.0,4.5,3.1,7.6,-2.8,-0.9,-3.7,3.3,2.5,5.8,1.3,"$33,296,296"
113,DeMar DeRozan,30,7,13,34.1,8.5,16.1,52.6,0.1,0.3,20.0,4.8,5.9,81.2,0.5,5.1,5.6,4.7,2.7,3.0,37.2,1,0,-5.5,5.1,14.4,21.0,1.0,21.8,0.6,13.8,9.6,10.0,10.4,34.6,0.017,26.3,28.8,25.6,0.8,1.5,36.1,36.1,7.6,21.0,18.1,27.7,28.5,21.8,13.8,28.4,21.1,31.7,27.9,30,98.4,1.6,77.4,28.6,0.7,10.1,21.9,12.9,48.8,28.0,72.0,100,0.0,28.4,71.6,2.8,0.8,2.2,10.6,9.6,10.0,10.4,34.6,1.0,4.6,646.0,1.7,-4.4,-2.7,-2.0,-6.4,-8.3,1.1,-5.0,-3.9,-0.4,"$27,739,975"
114,Lou Williams,33,14,6,32.0,7.0,16.4,42.4,1.9,5.1,36.6,6.0,7.1,84.4,0.6,2.9,3.5,6.2,3.2,1.6,34.3,2,0,2.6,2.9,8.1,12.0,0.6,13.3,0.2,4.6,10.7,8.7,9.8,29.8,0.111,28.0,25.3,27.0,26.8,23.8,42.0,38.6,7.4,12.0,10.8,40.9,28.4,13.3,4.6,29.2,10.3,37.0,28.5,33,69.2,30.8,47.0,18.9,25.6,14.1,27.4,13.8,28.1,16.7,83.3,67.6,32.4,30.2,69.8,3.0,2.4,3.1,6.1,10.7,8.7,9.8,29.8,1.1,6.0,613.0,5.2,-3.6,1.7,-1.0,-5.2,-6.2,4.3,-4.1,0.2,0.9,"$8,000,000"
115,Jayson Tatum,21,13,5,34.4,7.5,18.3,40.9,2.2,6.2,35.7,3.3,4.1,82.2,1.4,5.7,7.2,2.5,2.2,2.3,36.7,2,0,8.5,5.7,15.1,22.3,1.4,22.2,0.6,13.5,9.5,9.7,8.1,29.8,0.173,26.5,25.7,28.0,26.3,25.6,22.9,22.5,18.1,22.3,21.3,14.8,24.5,22.2,13.5,19.7,16.1,21.7,25.3,21,66.1,33.9,51.4,11.9,32.4,14.3,16.2,18.6,39.5,53.7,46.3,77.5,22.5,60.7,39.3,3.8,2.5,2.9,8.1,9.5,9.7,8.1,29.8,0.8,3.6,582.0,0.3,-0.5,-0.3,2.8,4.9,7.6,0.7,0.4,1.1,1.1,"$7,830,000"
116,Buddy Hield,26,8,10,33.4,7.3,17.6,41.6,3.8,10.2,37.5,2.0,2.3,87.8,0.8,3.8,4.6,2.4,2.8,2.6,30.5,0,0,-2.5,3.8,11.3,16.7,0.8,14.7,0.4,14.3,12.1,10.1,8.1,35.8,0.065,27.0,26.7,29.2,42.1,41.7,20.8,18.9,12.0,16.7,15.6,14.6,25.0,14.7,14.3,22.7,16.4,14.0,27.8,26,42.0,58.0,34.1,14.6,56.1,12.7,9.8,14.6,19.5,44.4,55.6,76.8,23.2,61.4,38.6,3.0,1.0,2.6,4.0,12.1,10.1,8.1,35.8,0.8,1.7,561.0,-0.1,-1.2,-1.3,4.8,-4.6,0.1,0.9,-1.9,-1.0,0.5,"$4,861,208"
117,Stephen Curry,31,1,3,28.0,6.8,16.5,40.9,2.3,9.3,24.3,4.5,4.5,100,1.0,4.0,5.0,6.5,3.8,2.5,37.5,1,0,-8.0,4.0,13.8,20.0,1.3,27.8,0.5,25.0,12.5,7.0,11.0,33.0,-0.041,29.5,26.5,28.3,31.0,40.2,40.9,35.3,12.5,20.0,17.9,35.6,38.5,27.8,25.0,30.8,20.8,29.5,29.2,31,43.9,56.1,44.4,9.9,33.3,18.5,22.2,11.1,34.6,33.3,66.7,55.6,44.4,40.7,59.3,2.3,2.3,3.8,7.0,12.5,7.0,11.0,33.0,1.0,3.3,112.0,4.3,1.6,5.9,1.4,-5.7,-4.4,4.1,0.4,4.5,0.4,"$40,231,758"
118,Spencer Dinwiddie,26,10,9,28.8,6.4,15.4,41.8,1.9,6.0,31.6,5.5,6.3,86.7,0.2,2.4,2.6,5.9,2.4,3.5,34.0,2,0,2.1,2.4,7.2,11.0,0.8,22.1,0.6,19.6,10.4,8.7,7.1,25.8,0.069,28.5,25.5,28.5,25.7,28.4,46.2,40.8,2.5,11.0,9.1,41.7,27.3,22.1,19.6,27.3,24.7,32.0,29.1,26,61.0,39.0,44.8,4.7,28.1,13.0,27.1,13.8,40.1,15.1,84.9,25.0,75.0,18.0,82.0,2.8,0.8,2.6,8.1,10.4,8.7,7.1,25.8,0.8,4.2,513.0,5.0,-3.0,2.0,6.4,-0.1,6.3,5.5,-2.6,2.9,1.5,"$10,600,000"
119,Blake Griffin,30,2,5,30.0,6.4,15.0,42.9,1.6,6.1,25.6,5.3,6.7,78.7,1.4,3.7,5.1,3.3,2.9,1.6,30.1,0,0,1.3,3.7,11.8,17.4,0.3,7.7,0.4,13.6,11.9,8.0,10.0,29.1,0.051,29.8,26.0,28.3,17.7,27.6,53.6,53.4,20.0,17.4,18.1,21.1,29.0,7.7,13.6,20.8,13.9,46.3,28.9,30,59.0,41.0,49.3,0.0,23.9,10.1,26.8,12.3,49.3,38.2,61.8,54.5,45.5,42.2,57.8,2.4,1.1,2.0,9.7,11.9,8.0,10.0,29.1,0.7,6.3,178.0,1.5,-0.2,1.3,2.6,-3.1,-0.6,1.8,-0.8,1.1,0.3,"$34,234,964"
120,Malcolm Brogdon,26,10,6,31.8,7.1,14.9,47.7,1.4,4.3,32.4,3.8,3.9,96.8,0.6,4.3,4.9,7.9,3.0,2.1,37.7,5,0,5.8,4.3,13.3,18.9,0.9,19.7,0.3,7.3,9.8,6.7,6.9,30.9,0.129,26.1,24.9,25.9,26.2,27.6,32.3,27.9,9.9,18.9,17.1,49.4,32.4,19.7,7.3,36.8,15.5,22.6,26.1,26,71.5,28.5,59.4,21.9,21.3,6.8,19.4,12.6,37.4,19.6,80.4,63.6,36.4,28.1,71.9,2.4,1.3,1.3,7.3,9.8,6.7,6.9,30.9,0.9,3.1,432.0,3.5,-0.7,2.8,2.8,3.1,5.9,3.5,-0.1,3.4,1.4,"$20,000,000"
121,Jrue Holiday,29,6,11,36.2,7.5,17.3,43.5,1.9,5.4,34.8,2.1,2.6,77.8,1.1,4.0,5.1,7.2,3.6,2.5,41.1,4,0,-4.0,4.0,10.9,15.7,2.1,32.4,0.8,19.7,14.5,9.9,13.8,38.8,0.031,24.6,23.9,25.1,17.9,19.3,16.9,16.4,13.6,15.7,15.2,39.8,29.3,32.4,19.7,27.1,15.1,17.1,22.2,29,68.7,31.3,59.4,3.7,29.7,13.3,10.8,13.0,55.7,25.0,75.0,37.5,62.5,28.1,71.9,2.5,1.1,2.5,10.6,14.5,9.9,13.8,38.8,0.9,2.5,574.0,1.6,2.0,3.6,1.0,-2.2,-1.2,1.6,1.4,3.0,1.7,"$26,131,111"
122,Gordon Hayward,29,7,1,31.2,7.6,13.8,55.5,1.6,3.8,43.3,2.0,2.4,84.2,0.8,6.4,7.1,4.1,1.9,1.9,34.7,2,0,8.3,6.4,19.0,27.1,0.8,12.5,0.3,6.5,8.0,9.4,6.9,27.8,0.156,22.3,27.2,23.3,18.8,17.1,17.4,16.2,14.6,27.1,24.9,25.6,23.1,12.5,6.5,17.9,12.6,15.9,24.8,29,72.7,27.3,63.6,14.6,25.8,16.6,10.6,14.6,49.0,54.2,45.8,100,0.0,63.9,36.1,2.8,1.0,3.1,9.3,8.0,9.4,6.9,27.8,0.6,2.5,249.0,2.2,-1.8,0.4,3.7,4.5,8.2,2.6,-0.8,1.8,0.6,"$32,700,690"
123,LaMarcus Aldridge,34,7,13,32.8,7.7,14.8,51.7,0.6,1.6,35.5,3.0,3.6,83.3,2.1,4.7,6.7,2.5,1.7,2.2,36.3,2,0,-5.1,4.7,13.8,19.3,0.7,16.9,1.8,52.2,9.6,8.3,10.0,32.9,0.015,23.3,27.4,24.9,9.5,9.3,22.9,22.2,34.2,19.3,22.3,15.7,17.7,16.9,52.2,12.1,16.4,24.4,25.2,34,89.5,10.5,75.3,34.5,8.8,2.1,15.9,8.2,40.8,62.0,38.0,100,0.0,64.7,35.3,1.6,2.9,0.4,7.7,9.6,8.3,10.0,32.9,0.4,3.4,625.0,-1.2,0.9,-0.3,-4.3,-6.4,-10.7,-1.9,-0.3,-2.2,0.2,"$26,000,000"
124,Jimmy Butler,30,11,3,33.3,5.4,12.6,42.6,0.6,2.6,24.3,7.4,8.5,86.6,1.9,3.5,5.4,6.6,2.4,1.3,42.8,2,0,9.3,3.5,10.0,14.6,2.6,34.3,0.8,24.4,13.3,9.6,7.7,30.9,0.153,24.4,19.7,22.8,8.5,13.2,46.8,42.0,33.8,14.6,18.2,36.2,20.9,34.3,24.4,28.2,9.6,39.4,24.1,30,79.0,21.0,50.4,4.6,10.3,14.5,39.3,21.4,45.8,51.5,48.5,66.7,33.3,53.3,46.7,4.0,1.9,2.7,8.6,13.3,9.6,7.7,30.9,0.8,6.8,438.0,4.7,6.4,11.1,2.9,3.8,6.6,4.6,6.2,10.8,3.0,"$32,742,000"
125,Jaylen Brown,23,10,5,33.3,7.1,14.6,48.4,1.7,4.7,35.7,2.9,3.9,72.9,1.1,6.1,7.3,2.1,1.7,3.1,33.4,3,0,2.7,6.1,17.0,25.1,1.3,18.8,0.3,7.4,8.7,8.2,7.7,29.2,0.147,22.4,25.5,22.7,22.3,20.2,24.4,26.7,13.0,25.1,21.9,12.4,19.5,18.8,7.4,29.6,21.5,22.1,25.0,23,68.0,32.0,57.9,5.0,26.8,18.9,15.4,17.9,52.9,51.9,48.1,96.0,4.0,62.3,37.7,3.3,1.7,3.5,9.9,8.7,8.2,7.7,29.2,1.4,3.1,466.0,1.8,2.0,3.8,-0.5,1.5,1.0,1.4,2.0,3.4,1.5,"$6,534,829"
126,Ja Morant,20,5,12,28.7,6.9,15.2,45.7,0.9,2.3,41.0,3.8,5.0,76.5,0.9,2.2,3.2,6.4,3.4,1.7,33.6,3,0,-2.9,2.2,7.1,10.4,1.4,28.8,0.3,9.4,10.8,9.0,8.2,28.2,0.065,29.8,28.4,28.6,14.4,13.5,39.6,39.9,15.8,10.4,11.6,42.7,33.7,28.8,9.4,52.2,13.2,31.7,28.6,20,84.9,15.1,64.4,5.7,15.1,15.8,20.5,12.9,58.7,29.4,70.6,50.0,50.0,32.2,67.8,2.4,1.8,2.9,10.9,10.8,9.0,8.2,28.2,2.1,4.1,457.0,0.5,-3.6,-3.1,1.0,1.8,2.9,0.7,-2.7,-2.1,0.2,"$8,730,240"
127,Montrezl Harrell,25,14,6,29.8,7.8,13.2,58.9,0.0,0.3,0.0,3.1,4.6,66.3,3.0,4.7,7.6,2.3,1.9,2.3,35.6,5,0,5.5,4.7,13.6,20.3,0.9,18.5,1.3,37.9,10.1,8.3,8.6,26.9,0.121,22.5,29.8,23.8,0.0,1.6,21.4,25.5,42.4,20.3,25.5,15.9,18.1,18.5,37.9,33.3,15.9,29.0,25.5,25,97.7,2.3,83.6,0.0,0.0,15.1,16.4,15.6,83.6,58.1,41.9,0.0,0.0,58.1,41.9,2.9,4.1,2.8,15.5,10.1,8.3,8.6,26.9,1.2,4.7,572.0,1.5,6.6,8.2,5.0,1.8,6.8,2.3,6.0,8.3,3.2,"$6,000,000"
128,Jamal Murray,22,13,4,33.2,7.1,16.2,43.6,1.9,5.4,34.8,2.5,2.8,89.6,0.8,3.8,4.5,4.9,2.5,2.0,34.8,1,0,7.8,3.8,10.9,15.4,1.6,29.2,0.4,11.8,8.5,6.7,8.8,31.1,0.170,25.6,25.1,26.3,24.8,25.8,22.8,19.8,10.2,15.4,14.2,27.9,27.9,29.2,11.8,20.4,15.5,23.2,24.7,22,66.5,33.5,55.9,22.2,30.5,7.9,13.7,15.6,33.7,47.7,52.3,65.6,34.4,52.5,47.5,2.9,1.3,1.5,6.2,8.5,6.7,8.8,31.1,0.6,3.5,527.0,0.2,1.9,2.0,7.4,2.5,9.9,1.5,2.0,3.5,1.7,"$4,444,746"
129,Fred VanVleet,25,14,4,37.8,6.0,14.9,40.3,2.6,6.8,38.2,3.9,4.4,87.5,0.2,3.7,3.9,7.3,2.7,2.2,37.8,3,0,5.4,3.7,8.3,12.7,2.0,31.0,0.1,2.9,14.1,10.9,9.2,32.8,0.167,22.1,19.4,21.9,23.6,24.4,28.2,26.1,3.4,12.7,11.0,38.3,22.4,31.0,2.9,24.4,13.8,25.5,21.3,25,54.1,45.9,36.6,1.2,42.3,17.1,21.0,17.1,35.4,27.9,72.1,70.2,29.8,46.3,53.7,3.2,1.5,3.2,6.6,14.1,10.9,9.2,32.8,1.2,4.1,639.0,2.0,0.0,2.0,-5.5,-0.6,-6.1,0.7,-0.1,0.5,1.1,"$9,000,000"
130,Domantas Sabonis,23,11,6,34.4,7.2,14.0,51.3,0.3,1.2,25.0,3.8,4.8,80.2,3.7,9.3,13.0,3.6,2.7,3.5,40.5,14,0,4.6,9.3,26.5,37.6,0.7,13.6,0.5,16.4,10.4,7.3,8.2,31.9,0.132,23.1,23.6,21.9,4.5,6.8,35.1,36.7,49.6,37.6,40.4,21.3,26.9,13.6,16.4,32.7,23.8,36.3,23.6,23,91.6,8.4,74.5,10.2,4.8,4.8,20.7,13.4,64.3,59.0,41.0,100,0.0,60.7,39.3,2.5,3.1,0.9,11.9,10.4,7.3,8.2,31.9,1.0,5.1,510.0,0.7,0.7,1.4,2.7,3.5,6.2,1.1,1.2,2.3,1.3,"$3,529,555"
131,Evan Fournier,27,7,11,30.5,6.3,13.5,46.5,2.4,5.8,41.0,3.5,4.1,85.1,0.1,2.9,3.0,3.4,2.1,2.1,28.8,0,0,2.2,2.9,9.5,13.1,1.1,19.4,0.2,4.1,8.1,6.6,6.4,28.0,0.119,24.4,24.8,24.1,37.4,31.3,31.7,30.2,1.8,13.1,10.5,23.4,27.5,19.4,4.1,18.0,18.1,24.1,27.1,27,56.8,43.2,42.2,15.7,38.9,11.7,19.0,14.5,26.5,37.1,62.9,83.7,16.3,54.9,45.1,2.7,0.8,2.2,4.9,8.1,6.6,6.4,28.0,0.5,2.9,515.0,1.7,-0.3,1.4,8.9,-4.1,4.8,3.2,-1.1,2.1,1.3,"$17,000,000"
132,Shai Gilgeous-Alexander,21,7,11,34.4,6.9,15.4,44.6,1.4,3.9,37.1,3.1,3.9,77.5,0.8,4.1,4.8,3.1,2.2,1.8,31.0,0,0,-1.5,4.1,11.2,16.7,0.9,16.7,0.6,16.7,11.5,9.7,8.9,36.4,0.078,24.6,24.3,25.8,19.0,19.1,21.7,22.3,15.1,16.7,16.4,19.2,22.5,16.7,16.7,41.3,13.3,21.4,23.3,21,74.8,25.2,59.6,9.1,23.7,11.2,16.7,20.4,50.5,33.7,66.3,73.1,26.9,41.9,58.1,3.7,0.7,2.1,9.2,11.5,9.7,8.9,36.4,1.4,3.5,586.0,-0.5,-1.0,-1.5,2.3,-5.0,-2.8,0.0,-1.8,-1.8,0.3,"$3,952,920"
133,Danilo Gallinari,31,7,11,29.8,5.4,12.3,43.7,2.7,6.6,41.2,4.7,5.1,92.4,0.5,4.7,5.2,2.1,1.4,1.6,28.6,0,0,-0.2,4.7,16.0,23.2,0.7,14.3,0.1,4.4,10.2,7.9,7.8,32.0,0.049,23.1,22.1,23.6,39.2,36.0,35.0,31.4,10.2,23.2,20.7,15.1,17.2,14.3,4.4,23.1,12.7,29.7,26.3,31,46.4,53.6,29.3,14.6,44.8,5.2,25.9,10.7,14.6,52.1,47.9,77.6,22.4,64.9,35.1,1.9,1.3,0.9,2.7,10.2,7.9,7.8,32.0,0.7,4.4,509.0,3.0,0.2,3.2,6.2,-8.9,-2.7,3.8,-1.5,2.3,1.3,"$22,615,559"
134,De'Aaron Fox,21,3,6,32.1,6.1,14.2,43.0,1.1,3.3,33.3,4.9,6.9,71.0,0.6,3.4,4.0,7.0,4.1,3.0,33.4,2,0,-4.9,3.4,11.2,16.8,0.8,14.9,0.6,17.9,13.3,9.0,8.1,37.3,0.022,28.2,22.4,24.1,11.8,13.9,53.7,55.4,7.8,16.8,14.5,47.7,37.0,14.9,17.9,21.9,20.5,47.0,24.9,21,76.6,23.4,54.9,8.5,18.3,17.1,26.8,22.6,46.3,11.1,88.9,40.0,60.0,16.4,83.6,4.1,1.6,3.1,8.4,13.3,9.0,8.1,37.3,0.8,6.1,288.0,1.4,-4.8,-3.4,1.9,-8.5,-6.6,1.6,-5.8,-4.1,-0.2,"$6,392,760"
135,Devonte' Graham,24,8,13,33.3,6.0,14.4,41.7,3.4,8.2,41.3,2.8,3.5,79.7,0.8,2.7,3.5,7.4,3.1,1.6,32.8,6,0,-1.9,2.7,8.4,13.0,0.6,11.7,0.2,9.3,12.2,9.2,7.8,36.1,0.049,24.1,21.7,24.1,37.2,31.9,24.6,22.6,11.7,13.0,12.7,45.0,30.4,11.7,9.3,24.5,13.0,25.7,24.0,24,43.0,57.0,28.8,4.2,55.8,12.3,15.4,22.3,24.6,30.9,69.1,49.3,50.7,41.3,58.7,4.0,0.8,2.2,4.5,12.2,9.2,7.8,36.1,0.6,3.9,632.0,3.7,-1.8,1.9,6.8,1.7,8.5,4.6,-1.3,3.3,2.0,"$1,416,852"
136,Tobias Harris,27,14,6,34.2,7.2,14.5,49.3,1.3,4.2,30.1,2.5,3.3,76.9,0.7,6.4,7.1,3.2,2.1,3.0,34.8,3,0,5.2,6.4,18.7,24.2,1.1,16.8,0.8,20.3,11.6,6.7,7.7,31.7,0.159,22.1,24.8,24.1,18.0,20.7,20.1,20.0,10.9,24.2,21.6,16.9,17.7,16.8,20.3,33.3,18.8,14.2,23.4,27,71.4,28.6,65.4,12.7,20.8,10.0,13.9,18.0,52.6,50.0,50.0,96.0,4.0,58.0,42.0,3.3,1.7,1.8,9.5,11.6,6.7,7.7,31.7,1.0,2.3,612.0,0.7,1.6,2.3,2.2,4.0,6.2,1.0,2.1,3.1,1.8,"$31,034,483"
137,Deandre Ayton,21,1,0,33.4,9.0,14.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,2.0,46.2,1,0,25.0,8.0,19.0,29.6,1.0,10.0,4.0,44.4,6.0,7.0,8.0,22.0,0.444,16.1,26.5,20.3,0.0,0.0,0.0,0.0,42.9,29.6,32.4,0.0,0.0,10.0,44.4,0.0,15.4,6.3,22.0,21,100,0.0,100,22.2,0.0,11.1,0.0,22.2,77.8,66.7,33.3,0.0,0.0,66.7,33.3,4.0,4.0,2.0,14.0,6.0,7.0,8.0,22.0,0.0,1.0,33.0,-0.7,13.9,13.2,-0.5,19.7,19.2,-0.8,15.7,15.0,0.3,"$9,562,920"
138,T.J. Warren,26,12,7,33.5,7.4,14.7,50.2,1.2,3.0,38.6,2.1,2.5,81.3,0.7,2.7,3.4,1.1,1.4,2.5,26.8,0,0,4.5,2.7,7.6,10.9,1.2,26.1,0.3,7.7,11.6,7.7,7.9,32.8,0.149,21.9,25.2,23.9,20.0,18.3,18.1,18.7,11.3,10.9,11.0,6.4,14.7,26.1,7.7,20.8,18.8,18.8,23.8,26,79.6,20.4,69.2,20.5,19.4,22.0,11.4,22.3,48.7,59.3,40.7,90.9,9.1,64.3,35.7,4.0,2.6,3.9,8.7,11.6,7.7,7.9,32.8,0.6,2.6,569.0,-1.3,1.7,0.4,-2.6,2.8,0.2,-1.6,2.0,0.3,0.9,"$10,810,000"
139,Collin Sexton,20,5,14,30.6,6.8,15.6,43.8,1.3,3.8,33.3,2.9,3.6,79.7,0.9,2.3,3.2,2.4,1.8,2.3,26.2,0,0,-4.7,2.3,7.4,10.4,0.8,20.0,0.1,3.0,11.5,8.9,9.3,35.5,0.021,25.8,27.1,27.9,18.8,20.5,26.2,25.6,13.7,10.4,11.2,18.8,19.6,20.0,3.0,38.8,20.6,30.4,26.1,20,75.8,24.2,62.5,10.6,21.2,18.6,16.2,12.1,51.9,24.5,75.5,83.3,16.7,35.4,64.6,2.2,1.6,3.3,9.3,11.5,8.9,9.3,35.5,1.7,4.2,549.0,0.6,-2.7,-2.1,3.7,-6.3,-2.6,1.3,-3.5,-2.2,0.2,"$4,764,960"
140,Carmelo Anthony,35,3,3,30.6,7.0,15.2,46.2,1.7,4.5,37.0,2.0,2.5,80.0,1.0,5.0,6.0,2.2,2.2,3.5,28.5,1,0,6.2,5.0,14.2,20.3,0.7,23.5,0.2,3.8,8.2,8.3,9.8,32.3,0.095,25.9,24.7,26.5,19.2,22.3,20.7,21.1,19.4,20.3,20.1,14.3,29.5,23.5,3.8,42.9,25.3,26.4,23.6,35,70.3,29.7,60.4,26.4,28.3,5.7,11.3,10.4,34.0,34.4,65.6,100,0.0,50.0,50.0,1.8,2.0,1.0,6.0,8.2,8.3,9.8,32.3,1.0,3.2,146.0,-1.2,-4.9,-6.1,6.0,-1.0,5.0,0.0,-4.4,-4.3,-0.1,"$2,159,029"
141,Khris Middleton,28,10,3,28.2,6.3,13.5,46.6,1.9,5.3,36.2,3.0,3.4,88.6,0.8,4.4,5.2,3.1,2.0,2.6,29.2,1,0,3.9,4.4,14.2,19.2,0.8,18.3,0.1,2.0,9.5,5.5,6.8,21.2,0.106,24.9,24.6,25.2,26.9,23.5,27.9,22.8,17.5,19.2,18.9,22.1,27.7,18.3,2.0,16.7,18.6,18.1,25.3,28,60.8,39.2,50.0,18.4,32.9,9.6,17.1,11.4,31.6,40.4,59.6,76.0,24.0,51.2,48.8,2.0,1.5,1.7,5.5,9.5,5.5,6.8,21.2,0.3,2.5,327.0,1.8,0.5,2.3,-0.8,3.2,2.4,1.4,1.0,2.3,0.8,"$30,603,448"
142,Terry Rozier,25,8,13,32.3,6.1,14.3,42.9,2.6,6.4,40.3,2.7,3.1,86.2,0.8,3.2,4.0,4.1,2.7,2.2,30.0,1,0,-8.1,3.2,10.7,15.9,1.2,26.6,0.2,6.3,12.7,8.2,9.0,35.9,0.007,24.1,24.2,24.5,28.9,27.2,28.1,24.5,11.3,15.9,14.7,26.0,26.1,26.6,6.3,15.6,17.3,22.3,25.3,25,55.5,44.5,40.8,7.6,44.0,14.1,15.2,19.6,33.2,22.7,77.3,83.3,16.7,48.1,51.9,3.4,1.4,2.5,5.8,12.7,8.2,9.0,35.9,0.5,2.9,613.0,-0.5,-0.6,-1.1,-4.6,-8.1,-12.7,-1.2,-2.0,-3.2,-0.1,"$19,894,737"
143,Andre Drummond,26,6,13,34.5,7.4,13.5,54.5,0.0,0.5,0.0,2.7,4.3,64.2,4.6,12.5,17.1,3.2,3.9,4.2,48.6,16,0,-0.7,12.5,35.6,51.0,1.5,32.2,1.7,49.3,13.7,9.8,9.9,35.2,0.081,24.2,25.7,22.3,0.0,2.4,25.1,29.2,64.0,51.0,53.9,17.7,32.3,32.2,49.3,47.5,29.5,30.1,22.8,26,96.1,3.9,84.3,1.2,0.0,4.5,15.7,12.0,83.1,57.9,42.1,0.0,0.0,57.9,42.1,2.1,4.9,0.8,14.5,13.7,9.8,9.9,35.2,1.5,4.3,618.0,-2.3,3.0,0.7,-0.0,3.9,3.9,-2.0,3.4,1.4,1.3,"$27,093,019"
144,Kevin Love,31,4,12,31.6,5.2,11.6,44.6,2.3,6.2,36.4,4.6,5.3,88.1,1.0,10.1,11.1,2.9,2.9,1.6,35.2,8,0,-3.9,10.1,31.6,45.1,0.7,13.8,0.4,20.0,11.1,8.6,11.0,34.8,0.072,22.0,20.4,20.2,30.5,29.3,41.6,38.7,15.0,45.1,38.2,20.4,27.5,13.8,20.0,11.6,14.5,26.9,24.9,31,46.8,53.2,34.1,13.0,39.1,4.0,26.8,14.5,21.0,48.9,51.1,91.7,8.3,67.5,32.5,2.5,1.8,0.7,3.6,11.1,8.6,11.0,34.8,0.5,3.8,474.0,0.8,0.6,1.4,-2.7,2.9,0.2,0.3,1.1,1.4,1.0,"$28,900,000"
145,Jeremy Lamb,27,7,3,33.0,6.5,13.4,48.5,1.2,4.0,30.0,2.9,3.4,85.3,0.6,5.0,5.6,2.9,1.5,2.3,31.8,1,0,5.5,5.0,14.7,21.4,1.0,21.3,0.7,16.3,11.5,5.9,8.1,34.4,0.113,21.2,21.5,22.7,19.4,23.8,23.4,22.4,11.1,21.4,19.4,17.3,14.6,21.3,16.3,19.0,15.9,18.8,21.6,27,70.1,29.9,62.0,24.6,21.1,8.8,17.0,18.1,37.4,34.0,66.0,83.3,16.7,43.1,56.9,3.1,1.4,1.5,6.4,11.5,5.9,8.1,34.4,0.4,2.8,256.0,2.2,2.6,4.8,4.6,-3.3,1.3,2.7,1.6,4.3,0.9,"$10,500,000"
